Date : 2023-12-29 18:45:13
Directory : /Users/yufei/Documents/ETH 2024spring/12306
Total : 486 files,  135494 codes, 13442 comments, 4613 blanks, all 153549 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| frameworks/cache/src/main/java/org/opengoofy                                                                                                                                                                         |         13 |        343 |        424 |        128 |        895 |
| frameworks/cache/src/main/java/org/opengoofy/index12306                                                                                                                                                              |         13 |        343 |        424 |        128 |        895 |
| frameworks/cache/src/main/java/org/opengoofy/index12306/framework                                                                                                                                                    |         13 |        343 |        424 |        128 |        895 |
| frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter                                                                                                                                            |         13 |        343 |        424 |        128 |        895 |
| frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache                                                                                                                                      |         13 |        343 |        424 |        128 |        895 |
| frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache (Files)                                                                                                                              |          5 |        237 |        198 |         76 |        511 |
| frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/config                                                                                                                               |          3 |         59 |         91 |         26 |        176 |
| frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/core                                                                                                                                 |          3 |         15 |         75 |         12 |        102 |
| frameworks/cache/src/main/java/org/opengoofy/index12306/framework/starter/cache/toolkit                                                                                                                              |          2 |         32 |         60 |         14 |        106 |
| frameworks/cache/src/main/resources                                                                                                                                                                                  |          1 |         10 |          1 |          2 |         13 |
| frameworks/cache/src/main/resources/lua                                                                                                                                                                              |          1 |         10 |          1 |          2 |         13 |
| frameworks/common                                                                                                                                                                                                    |         15 |        568 |        404 |        168 |      1,140 |
| frameworks/common (Files)                                                                                                                                                                                            |          1 |         27 |          0 |          5 |         32 |
| frameworks/common/src                                                                                                                                                                                                |         14 |        541 |        404 |        163 |      1,108 |
| frameworks/common/src/main                                                                                                                                                                                           |         14 |        541 |        404 |        163 |      1,108 |
| frameworks/common/src/main/java                                                                                                                                                                                      |         14 |        541 |        404 |        163 |      1,108 |
| frameworks/common/src/main/java/org                                                                                                                                                                                  |         14 |        541 |        404 |        163 |      1,108 |
| frameworks/common/src/main/java/org/opengoofy                                                                                                                                                                        |         14 |        541 |        404 |        163 |      1,108 |
| frameworks/common/src/main/java/org/opengoofy/index12306                                                                                                                                                             |         14 |        541 |        404 |        163 |      1,108 |
| frameworks/common/src/main/java/org/opengoofy/index12306/framework                                                                                                                                                   |         14 |        541 |        404 |        163 |      1,108 |
| frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter                                                                                                                                           |         14 |        541 |        404 |        163 |      1,108 |
| frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common                                                                                                                                    |         14 |        541 |        404 |        163 |      1,108 |
| frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/enums                                                                                                                              |          4 |         63 |        102 |         36 |        201 |
| frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/threadpool                                                                                                                         |          6 |        291 |        146 |         75 |        512 |
| frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/threadpool/build                                                                                                                   |          2 |        156 |         42 |         43 |        241 |
| frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/threadpool/proxy                                                                                                                   |          2 |         59 |         59 |         14 |        132 |
| frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/threadpool/support                                                                                                                 |          2 |         76 |         45 |         18 |        139 |
| frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/threadpool/support/eager                                                                                                           |          2 |         76 |         45 |         18 |        139 |
| frameworks/common/src/main/java/org/opengoofy/index12306/framework/starter/common/toolkit                                                                                                                            |          4 |        187 |        156 |         52 |        395 |
| frameworks/convention                                                                                                                                                                                                |         10 |        197 |        243 |         87 |        527 |
| frameworks/convention (Files)                                                                                                                                                                                        |          1 |         11 |          0 |          2 |         13 |
| frameworks/convention/src                                                                                                                                                                                            |          9 |        186 |        243 |         85 |        514 |
| frameworks/convention/src/main                                                                                                                                                                                       |          9 |        186 |        243 |         85 |        514 |
| frameworks/convention/src/main/java                                                                                                                                                                                  |          9 |        186 |        243 |         85 |        514 |
| frameworks/convention/src/main/java/org                                                                                                                                                                              |          9 |        186 |        243 |         85 |        514 |
| frameworks/convention/src/main/java/org/opengoofy                                                                                                                                                                    |          9 |        186 |        243 |         85 |        514 |
| frameworks/convention/src/main/java/org/opengoofy/index12306                                                                                                                                                         |          9 |        186 |        243 |         85 |        514 |
| frameworks/convention/src/main/java/org/opengoofy/index12306/framework                                                                                                                                               |          9 |        186 |        243 |         85 |        514 |
| frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter                                                                                                                                       |          9 |        186 |        243 |         85 |        514 |
| frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention                                                                                                                            |          9 |        186 |        243 |         85 |        514 |
| frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/errorcode                                                                                                                  |          2 |         36 |         54 |         18 |        108 |
| frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/exception                                                                                                                  |          4 |         85 |         87 |         35 |        207 |
| frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/page                                                                                                                       |          2 |         46 |         66 |         20 |        132 |
| frameworks/convention/src/main/java/org/opengoofy/index12306/framework/starter/convention/result                                                                                                                     |          1 |         19 |         36 |         12 |         67 |
| frameworks/database                                                                                                                                                                                                  |          7 |        199 |        170 |         60 |        429 |
| frameworks/database (Files)                                                                                                                                                                                          |          1 |         46 |          0 |          9 |         55 |
| frameworks/database/src                                                                                                                                                                                              |          6 |        153 |        170 |         51 |        374 |
| frameworks/database/src/main                                                                                                                                                                                         |          6 |        153 |        170 |         51 |        374 |
| frameworks/database/src/main/java                                                                                                                                                                                    |          6 |        153 |        170 |         51 |        374 |
| frameworks/database/src/main/java/org                                                                                                                                                                                |          6 |        153 |        170 |         51 |        374 |
| frameworks/database/src/main/java/org/opengoofy                                                                                                                                                                      |          6 |        153 |        170 |         51 |        374 |
| frameworks/database/src/main/java/org/opengoofy/index12306                                                                                                                                                           |          6 |        153 |        170 |         51 |        374 |
| frameworks/database/src/main/java/org/opengoofy/index12306/framework                                                                                                                                                 |          6 |        153 |        170 |         51 |        374 |
| frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter                                                                                                                                         |          6 |        153 |        170 |         51 |        374 |
| frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database                                                                                                                                |          6 |        153 |        170 |         51 |        374 |
| frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/algorithm                                                                                                                      |          1 |         44 |         19 |         13 |         76 |
| frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/algorithm/sharding                                                                                                             |          1 |         44 |         19 |         13 |         76 |
| frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/base                                                                                                                           |          1 |         14 |         30 |          8 |         52 |
| frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/config                                                                                                                         |          1 |         26 |         30 |          7 |         63 |
| frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/handler                                                                                                                        |          2 |         26 |         52 |         12 |         90 |
| frameworks/database/src/main/java/org/opengoofy/index12306/framework/starter/database/toolkit                                                                                                                        |          1 |         43 |         39 |         11 |         93 |
| frameworks/designpattern                                                                                                                                                                                             |          7 |        153 |        202 |         49 |        404 |
| frameworks/designpattern (Files)                                                                                                                                                                                     |          1 |         27 |          0 |          5 |         32 |
| frameworks/designpattern/src                                                                                                                                                                                         |          6 |        126 |        202 |         44 |        372 |
| frameworks/designpattern/src/main                                                                                                                                                                                    |          6 |        126 |        202 |         44 |        372 |
| frameworks/designpattern/src/main/java                                                                                                                                                                               |          6 |        126 |        202 |         44 |        372 |
| frameworks/designpattern/src/main/java/org                                                                                                                                                                           |          6 |        126 |        202 |         44 |        372 |
| frameworks/designpattern/src/main/java/org/opengoofy                                                                                                                                                                 |          6 |        126 |        202 |         44 |        372 |
| frameworks/designpattern/src/main/java/org/opengoofy/index12306                                                                                                                                                      |          6 |        126 |        202 |         44 |        372 |
| frameworks/designpattern/src/main/java/org/opengoofy/index12306/framework                                                                                                                                            |          6 |        126 |        202 |         44 |        372 |
| frameworks/designpattern/src/main/java/org/opengoofy/index12306/framework/starter                                                                                                                                    |          6 |        126 |        202 |         44 |        372 |
| frameworks/designpattern/src/main/java/org/opengoofy/index12306/framework/starter/designpattern                                                                                                                      |          6 |        126 |        202 |         44 |        372 |
| frameworks/designpattern/src/main/java/org/opengoofy/index12306/framework/starter/designpattern/builder                                                                                                              |          1 |          5 |         26 |          5 |         36 |
| frameworks/designpattern/src/main/java/org/opengoofy/index12306/framework/starter/designpattern/chain                                                                                                                |          2 |         43 |         56 |         14 |        113 |
| frameworks/designpattern/src/main/java/org/opengoofy/index12306/framework/starter/designpattern/config                                                                                                               |          1 |         17 |         27 |          6 |         50 |
| frameworks/designpattern/src/main/java/org/opengoofy/index12306/framework/starter/designpattern/strategy                                                                                                             |          2 |         61 |         93 |         19 |        173 |
| frameworks/distributedid                                                                                                                                                                                             |         14 |        437 |        531 |        162 |      1,130 |
| frameworks/distributedid (Files)                                                                                                                                                                                     |          1 |         32 |          0 |          6 |         38 |
| frameworks/distributedid/src                                                                                                                                                                                         |         13 |        405 |        531 |        156 |      1,092 |
| frameworks/distributedid/src/main                                                                                                                                                                                    |         13 |        405 |        531 |        156 |      1,092 |
| frameworks/distributedid/src/main/java                                                                                                                                                                               |         12 |        380 |        531 |        147 |      1,058 |
| frameworks/distributedid/src/main/java/org                                                                                                                                                                           |         12 |        380 |        531 |        147 |      1,058 |
| frameworks/distributedid/src/main/java/org/opengoofy                                                                                                                                                                 |         12 |        380 |        531 |        147 |      1,058 |
| frameworks/distributedid/src/main/java/org/opengoofy/index12306                                                                                                                                                      |         12 |        380 |        531 |        147 |      1,058 |
| frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework                                                                                                                                            |         12 |        380 |        531 |        147 |      1,058 |
| frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter                                                                                                                                    |         12 |        380 |        531 |        147 |      1,058 |
| frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid                                                                                                                      |         12 |        380 |        531 |        147 |      1,058 |
| frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/config                                                                                                               |          1 |         21 |         27 |          6 |         54 |
| frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/core                                                                                                                 |          9 |        289 |        408 |        114 |        811 |
| frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/core (Files)                                                                                                         |          1 |          9 |         27 |          5 |         41 |
| frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/core/serviceid                                                                                                       |          2 |         63 |         84 |         29 |        176 |
| frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/core/snowflake                                                                                                       |          6 |        217 |        297 |         80 |        594 |
| frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/handler                                                                                                              |          1 |         27 |         36 |         10 |         73 |
| frameworks/distributedid/src/main/java/org/opengoofy/index12306/framework/starter/distributedid/toolkit                                                                                                              |          1 |         43 |         60 |         17 |        120 |
