Date : 2023-12-29 18:45:13
Directory : /Users/yufei/Documents/ETH 2024spring/12306
Total : 486 files,  135494 codes, 13442 comments, 4613 blanks, all 153549 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto/RefundReqDTO.java                                                                         | Java               |         12 |         33 |          9 |         54 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto/RefundRespDTO.java                                                                        | Java               |          5 |         21 |          4 |         30 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto/base/AbstractPayCallbackRequest.java                                                      | Java               |         16 |         21 |          7 |         44 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto/base/AbstractPayRequest.java                                                              | Java               |         30 |         34 |         11 |         75 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto/base/AbstractRefundRequest.java                                                           | Java               |         23 |         30 |          9 |         62 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto/base/AliPayCallbackRequest.java                                                           | Java               |         20 |         36 |         12 |         68 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto/base/AliPayRequest.java                                                                   | Java               |         26 |         36 |         11 |         73 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto/base/AliRefundRequest.java                                                                | Java               |         25 |         27 |          9 |         61 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto/base/PayCallbackRequest.java                                                              | Java               |          5 |         27 |          5 |         37 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto/base/PayRequest.java                                                                      | Java               |          9 |         40 |          9 |         58 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto/base/PayResponse.java                                                                     | Java               |         12 |         24 |          5 |         41 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto/base/RefundRequest.java                                                                   | Java               |          7 |         30 |          7 |         44 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/dto/base/RefundResponse.java                                                                  | Java               |         13 |         27 |          6 |         46 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/handler/AliPayCallbackHandler.java                                                            | Java               |         37 |         21 |          8 |         66 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/handler/AliPayNativeHandler.java                                                              | Java               |         76 |         21 |          8 |        105 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/handler/AliRefundNativeHandler.java                                                           | Java               |         84 |         21 |         11 |        116 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/handler/base/AbstractPayCallbackHandler.java                                                  | Java               |          5 |         26 |          5 |         36 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/handler/base/AbstractPayHandler.java                                                          | Java               |          6 |         27 |          5 |         38 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/handler/base/AbstractRefundHandler.java                                                       | Java               |          6 |         27 |          5 |         38 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/mq/domain/MessageWrapper.java                                                                 | Java               |         23 |         33 |         10 |         66 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/mq/event/PayResultCallbackOrderEvent.java                                                     | Java               |         23 |         58 |         17 |         98 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/mq/event/RefundResultCallbackOrderEvent.java                                                  | Java               |         17 |         30 |          6 |         53 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/mq/produce/AbstractCommonSendProduceTemplate.java                                             | Java               |         31 |         40 |          8 |         79 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/mq/produce/BaseSendExtendDTO.java                                                             | Java               |         16 |         36 |          9 |         61 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/mq/produce/PayResultCallbackOrderSendProduce.java                                             | Java               |         42 |         21 |          9 |         72 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/mq/produce/RefundResultCallbackOrderSendProduce.java                                          | Java               |         43 |         21 |         10 |         74 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/remote/TicketOrderRemoteService.java                                                          | Java               |         11 |         27 |          5 |         43 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/remote/dto/TicketOrderDetailRespDTO.java                                                      | Java               |         22 |         51 |         15 |         88 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/remote/dto/TicketOrderPassengerDetailRespDTO.java                                             | Java               |         22 |         54 |         15 |         91 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/service/PayService.java                                                                       | Java               |         14 |         50 |          9 |         73 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/service/RefundService.java                                                                    | Java               |          6 |         27 |          4 |         37 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/service/impl/PayServiceImpl.java                                                              | Java               |        119 |         30 |         11 |        160 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/service/impl/RefundServiceImpl.java                                                           | Java               |        119 |         28 |          8 |        155 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/service/payid/DistributedIdGenerator.java                                                     | Java               |         35 |         21 |          8 |         64 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/java/org/opengoofy/index12306/biz/payservice/service/payid/PayIdGeneratorManager.java                                                      | Java               |         38 |         28 |          8 |         74 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/resources/application.yaml                                                                                                                 | YAML               |         63 |          1 |          7 |         71 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/main/resources/shardingsphere-config.yaml                                                                                                       | YAML               |         42 |          0 |          2 |         44 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pay-service/src/test/java/org/opengoofy/index12306/biz/payservice/PayServiceApplicationTests.java                                                               | Java               |         32 |         16 |          7 |         55 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/pom.xml                                                                                                                                                         | XML                |         30 |          0 |          5 |         35 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/pom.xml                                                                                                                                          | XML                |        125 |          3 |         24 |        152 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/TicketServiceApplication.java                                                           | Java               |         15 |         21 |          5 |         41 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/canal/OrderCloseCacheAndTokenUpdateHandler.java                                         | Java               |         55 |         21 |          9 |         85 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/canal/TicketAvailabilityCacheUpdateHandler.java                                         | Java               |         63 |         21 |          9 |         93 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/constant/Index12306Constant.java                                                 | Java               |          4 |         24 |          4 |         32 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/constant/RedisKeyConstant.java                                                   | Java               |         27 |         93 |         27 |        147 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/constant/TicketRocketMQConstant.java                                             | Java               |         11 |         45 |         11 |         67 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/enums/CanalExecuteStrategyMarkEnum.java                                          | Java               |         27 |         27 |         11 |         65 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/enums/RefundTypeEnum.java                                                        | Java               |         13 |         27 |         10 |         50 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/enums/RegionStationQueryTypeEnum.java                                            | Java               |         27 |         48 |         14 |         89 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/enums/SeatStatusEnum.java                                                        | Java               |         11 |         30 |          8 |         49 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/enums/SourceEnum.java                                                            | Java               |         10 |         27 |          7 |         44 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/enums/TicketChainMarkEnum.java                                                   | Java               |          6 |         30 |          6 |         42 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/enums/TicketStatusEnum.java                                                      | Java               |         14 |         39 |         11 |         64 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/enums/TrainBrandEnum.java                                                        | Java               |         44 |         27 |         17 |         88 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/enums/VehicleSeatTypeEnum.java                                                   | Java               |         43 |         72 |         25 |        140 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/common/enums/VehicleTypeEnum.java                                                       | Java               |         47 |         42 |         17 |        106 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/config/Hippo4jThreadPoolConfiguration.java                                              | Java               |         27 |         26 |          6 |         59 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/controller/RegionStationController.java                                                 | Java               |         24 |         27 |          8 |         59 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/controller/TempSeatController.java                                                      | Java               |         44 |         24 |          8 |         76 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/controller/TicketController.java                                                        | Java               |         73 |         39 |         11 |        123 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/controller/TrainStationController.java                                                  | Java               |         18 |         24 |          7 |         49 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/entity/CarriageDO.java                                                              | Java               |         16 |         36 |          9 |         61 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/entity/RegionDO.java                                                                | Java               |         15 |         42 |         11 |         68 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/entity/SeatDO.java                                                                  | Java               |         23 |         48 |         13 |         84 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/entity/StationDO.java                                                               | Java               |         14 |         39 |         10 |         63 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/entity/TicketDO.java                                                                | Java               |         21 |         42 |         11 |         74 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/entity/TrainDO.java                                                                 | Java               |         22 |         60 |         18 |        100 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/entity/TrainStationDO.java                                                          | Java               |         23 |         54 |         16 |         93 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/entity/TrainStationPriceDO.java                                                     | Java               |         14 |         39 |         10 |         63 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/entity/TrainStationRelationDO.java                                                  | Java               |         19 |         51 |         15 |         85 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/mapper/CarriageMapper.java                                                          | Java               |          5 |         21 |          4 |         30 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/mapper/RegionMapper.java                                                            | Java               |          5 |         21 |          4 |         30 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/mapper/SeatMapper.java                                                              | Java               |         10 |         27 |          7 |         44 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/mapper/StationMapper.java                                                           | Java               |          5 |         21 |          4 |         30 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/mapper/TicketMapper.java                                                            | Java               |          5 |         21 |          4 |         30 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/mapper/TrainMapper.java                                                             | Java               |          5 |         21 |          4 |         30 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/mapper/TrainStationMapper.java                                                      | Java               |          5 |         21 |          4 |         30 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/mapper/TrainStationPriceMapper.java                                                 | Java               |          5 |         21 |          4 |         30 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dao/mapper/TrainStationRelationMapper.java                                              | Java               |          5 |         21 |          4 |         30 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/domain/BulletTrainDTO.java                                                          | Java               |         20 |         66 |         19 |        105 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/domain/HighSpeedTrainDTO.java                                                       | Java               |         14 |         48 |         13 |         75 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/domain/PurchaseTicketPassengerDetailDTO.java                                        | Java               |          7 |         27 |          6 |         40 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/domain/RegularTrainDTO.java                                                         | Java               |         20 |         66 |         19 |        105 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/domain/RouteDTO.java                                                                | Java               |         11 |         27 |          6 |         44 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/domain/SeatClassDTO.java                                                            | Java               |         16 |         33 |          9 |         58 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/domain/SeatTypeCountDTO.java                                                        | Java               |         11 |         27 |          6 |         44 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/domain/TicketListDTO.java                                                           | Java               |         22 |         69 |         21 |        112 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/domain/TrainSeatBaseDTO.java                                                        | Java               |         15 |         36 |         10 |         61 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/req/CancelTicketOrderReqDTO.java                                                    | Java               |         10 |         24 |          5 |         39 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/req/PurchaseTicketReqDTO.java                                                       | Java               |         12 |         36 |         10 |         58 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/req/RefundTicketReqDTO.java                                                         | Java               |          9 |         30 |          8 |         47 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/req/RegionStationQueryReqDTO.java                                                   | Java               |          7 |         27 |          6 |         40 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/req/TicketOrderItemQueryReqDTO.java                                                 | Java               |          8 |         27 |          6 |         41 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/req/TicketPageQueryReqDTO.java                                                      | Java               |         14 |         36 |         10 |         60 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/resp/RefundTicketRespDTO.java                                                       | Java               |          5 |         21 |          4 |         30 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/resp/RegionStationQueryRespDTO.java                                                 | Java               |          8 |         30 |          7 |         45 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/resp/StationQueryRespDTO.java                                                       | Java               |          9 |         33 |          8 |         50 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/resp/TicketOrderDetailRespDTO.java                                                  | Java               |         19 |         45 |         12 |         76 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/resp/TicketPageQueryRespDTO.java                                                    | Java               |         18 |         36 |         10 |         64 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/resp/TicketPurchaseRespDTO.java                                                     | Java               |         14 |         27 |          7 |         48 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/dto/resp/TrainStationQueryRespDTO.java                                                  | Java               |         14 |         36 |         10 |         60 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/job/RegionTrainStationJobHandler.java                                                   | Java               |         77 |         21 |          9 |        107 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/job/TrainStationDetailJobHandler.java                                                   | Java               |         61 |         21 |          9 |         91 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/job/TrainStationJobHandler.java                                                         | Java               |         44 |         22 |          9 |         75 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/job/TrainStationRemainingTicketJobHandler.java                                          | Java               |         75 |         26 |          9 |        110 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/job/base/AbstractTrainStationJobHandlerTemplate.java                                    | Java               |         42 |         26 |          8 |         76 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/mq/consumer/CanalCommonSyncBinlogConsumer.java                                          | Java               |         40 |         22 |          8 |         70 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/mq/consumer/DelayCloseOrderConsumer.java                                                | Java               |         94 |         21 |          9 |        124 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/mq/consumer/PayResultCallbackTicketConsumer.java                                        | Java               |         70 |         21 |          7 |         98 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/mq/domain/MessageWrapper.java                                                           | Java               |         23 |         33 |         10 |         66 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/mq/event/CanalBinlogEvent.java                                                          | Java               |         20 |         62 |         18 |        100 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/mq/event/DelayCloseOrderEvent.java                                                      | Java               |         18 |         36 |         10 |         64 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/mq/event/PayResultCallbackTicketEvent.java                                              | Java               |         23 |         58 |         17 |         98 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/remote/PayRemoteService.java                                                            | Java               |         17 |         27 |          6 |         50 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/remote/TicketOrderRemoteService.java                                                    | Java               |         27 |         48 |         10 |         85 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/remote/UserRemoteService.java                                                           | Java               |         12 |         24 |          6 |         42 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/remote/dto/PassengerRespDTO.java                                                        | Java               |         17 |         48 |         14 |         79 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/remote/dto/PayInfoRespDTO.java                                                          | Java               |         10 |         33 |          9 |         52 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/remote/dto/RefundReqDTO.java                                                            | Java               |         11 |         33 |          9 |         53 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/remote/dto/RefundRespDTO.java                                                           | Java               |          5 |         21 |          4 |         30 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/remote/dto/TicketOrderCreateRemoteReqDTO.java                                           | Java               |         25 |         57 |         17 |         99 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/remote/dto/TicketOrderDetailRespDTO.java                                                | Java               |         22 |         51 |         15 |         88 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/remote/dto/TicketOrderItemCreateRemoteReqDTO.java                                       | Java               |         20 |         48 |         13 |         81 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/remote/dto/TicketOrderPassengerDetailRespDTO.java                                       | Java               |         22 |         54 |         15 |         91 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/CarriageService.java                                                            | Java               |          5 |         28 |          5 |         38 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/RegionStationService.java                                                       | Java               |          9 |         32 |          7 |         48 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/SeatService.java                                                                | Java               |         12 |         65 |         10 |         87 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/TicketService.java                                                              | Java               |         22 |         69 |         12 |        103 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/TrainStationService.java                                                        | Java               |          9 |         45 |          8 |         62 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/cache/SeatMarginCacheLoader.java                                                | Java               |        112 |         24 |          9 |        145 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/handler/ticket/TrainBusinessClassPurchaseTicketHandler.java                     | Java               |        432 |         30 |         14 |        476 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/handler/ticket/TrainFirstClassPurchaseTicketHandler.java                        | Java               |        425 |         30 |         15 |        470 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/handler/ticket/TrainSecondClassPurchaseTicketHandler.java                       | Java               |        461 |         30 |         15 |        506 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/handler/ticket/base/AbstractTrainPurchaseTicketTemplate.java                    | Java               |         54 |         28 |         11 |         93 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/handler/ticket/base/BitMapCheckSeat.java                                        | Java               |          9 |         37 |          7 |         53 |
| /Users/yufei/Documents/ETH 2024spring/12306/services/ticket-service/src/main/java/org/opengoofy/index12306/biz/ticketservice/service/handler/ticket/base/BitMapCheckSeatStatusFactory.java                           | Java               |         34 |         27 |          6 |         67 |
